time_iso8601,stars_cumulative
2022-03-16 00:00:00+00:00,186
2022-03-21 00:00:00+00:00,187
2022-03-30 00:00:00+00:00,188
2022-04-01 00:00:00+00:00,189
2022-04-03 00:00:00+00:00,190
2022-04-07 00:00:00+00:00,191
2022-04-08 00:00:00+00:00,192
2022-04-09 00:00:00+00:00,193
2022-04-16 00:00:00+00:00,194
2022-04-20 00:00:00+00:00,197
2022-04-25 00:00:00+00:00,198
2022-05-04 00:00:00+00:00,199
2022-05-09 00:00:00+00:00,200
2022-05-14 00:00:00+00:00,201
2022-05-16 00:00:00+00:00,202
2022-05-27 00:00:00+00:00,203
2022-06-01 00:00:00+00:00,204
2022-06-08 00:00:00+00:00,205
2022-06-24 00:00:00+00:00,206
2022-06-28 00:00:00+00:00,207
2022-07-01 00:00:00+00:00,208
2022-07-08 00:00:00+00:00,209
2022-07-14 00:00:00+00:00,210
2022-07-17 00:00:00+00:00,211
2022-07-19 00:00:00+00:00,212
2022-07-21 00:00:00+00:00,213
2022-07-27 00:00:00+00:00,214
2022-08-03 00:00:00+00:00,215
2022-08-13 00:00:00+00:00,216
2022-08-17 00:00:00+00:00,217
2022-08-20 00:00:00+00:00,218
2022-09-02 00:00:00+00:00,219
2022-09-06 00:00:00+00:00,220
2022-09-07 00:00:00+00:00,221
2022-09-09 00:00:00+00:00,222
2022-09-15 00:00:00+00:00,223
2022-09-22 00:00:00+00:00,224
2022-09-23 00:00:00+00:00,225
2022-10-11 00:00:00+00:00,226
2022-10-15 00:00:00+00:00,227
2022-10-16 00:00:00+00:00,228
2022-10-21 00:00:00+00:00,229
2023-01-04 00:00:00+00:00,230
2023-01-09 00:00:00+00:00,231
2023-01-10 00:00:00+00:00,233
2023-02-01 00:00:00+00:00,236
2023-02-04 00:00:00+00:00,237
2023-02-06 00:00:00+00:00,238
2023-02-11 00:00:00+00:00,239
2023-03-02 00:00:00+00:00,240
2023-03-06 00:00:00+00:00,241
2023-03-08 00:00:00+00:00,242
2023-03-11 00:00:00+00:00,243
2023-03-15 00:00:00+00:00,244
2023-03-28 00:00:00+00:00,245
2023-04-03 00:00:00+00:00,246
2023-04-04 00:00:00+00:00,247
2023-04-07 00:00:00+00:00,248
2023-04-09 00:00:00+00:00,249
2023-04-11 00:00:00+00:00,250
2023-04-20 00:00:00+00:00,251
2023-04-27 00:00:00+00:00,252
2023-05-02 00:00:00+00:00,253
2023-05-13 00:00:00+00:00,254
2023-05-22 00:00:00+00:00,255
2023-06-03 00:00:00+00:00,256
2023-06-14 00:00:00+00:00,257
2023-06-20 00:00:00+00:00,258
2023-06-26 00:00:00+00:00,259
2023-07-03 00:00:00+00:00,260
2023-07-04 00:00:00+00:00,262
2023-07-11 00:00:00+00:00,263
2023-07-19 00:00:00+00:00,264
2023-07-20 00:00:00+00:00,265
2023-08-09 00:00:00+00:00,266
2023-08-18 00:00:00+00:00,267
2023-08-21 00:00:00+00:00,268
2023-08-30 00:00:00+00:00,269
2023-09-10 00:00:00+00:00,271
2023-09-11 00:00:00+00:00,273
2023-09-20 00:00:00+00:00,275
2023-09-21 00:00:00+00:00,276
2023-09-28 00:00:00+00:00,277
2023-10-04 00:00:00+00:00,278
2023-10-07 00:00:00+00:00,279
