time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-15 00:00:00+00:00,3.0,1.0,11,6
2024-12-16 00:00:00+00:00,,,22,17
2024-12-17 00:00:00+00:00,4.0,4.0,32,20
2024-12-18 00:00:00+00:00,1.0,1.0,8,7
2024-12-19 00:00:00+00:00,2.0,2.0,23,14
2024-12-20 00:00:00+00:00,2.0,2.0,24,19
2024-12-21 00:00:00+00:00,3.0,2.0,21,12
2024-12-22 00:00:00+00:00,2.0,1.0,9,6
2024-12-23 00:00:00+00:00,3.0,2.0,7,6
2024-12-24 00:00:00+00:00,2.0,1.0,15,6
2024-12-25 00:00:00+00:00,1.0,1.0,17,9
2024-12-26 00:00:00+00:00,5.0,2.0,15,11
2024-12-27 00:00:00+00:00,3.0,2.0,12,11
2024-12-28 00:00:00+00:00,,,2,2
