time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-02 00:00:00+00:00,5,2,6,4
2025-02-03 00:00:00+00:00,4,4,19,13
2025-02-04 00:00:00+00:00,1,1,19,16
2025-02-05 00:00:00+00:00,5,3,34,18
2025-02-06 00:00:00+00:00,3,2,36,18
2025-02-07 00:00:00+00:00,6,3,22,15
2025-02-08 00:00:00+00:00,6,2,27,14
2025-02-09 00:00:00+00:00,6,3,14,10
2025-02-10 00:00:00+00:00,5,2,39,18
2025-02-11 00:00:00+00:00,4,4,27,21
2025-02-12 00:00:00+00:00,9,5,22,15
2025-02-13 00:00:00+00:00,5,2,20,12
2025-02-14 00:00:00+00:00,15,7,23,16
2025-02-15 00:00:00+00:00,4,4,15,8
