time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-06 00:00:00+00:00,11,10,8,5
2026-09-07 00:00:00+00:00,34,13,23,18
2026-09-08 00:00:00+00:00,9,9,39,21
2026-09-09 00:00:00+00:00,443,12,30,15
2026-09-10 00:00:00+00:00,7,7,21,17
2026-09-11 00:00:00+00:00,13,10,16,12
2026-09-12 00:00:00+00:00,8,7,9,7
2026-09-13 00:00:00+00:00,10,5,53,6
2026-09-14 00:00:00+00:00,24,18,19,9
2026-09-15 00:00:00+00:00,10,8,27,17
2026-09-16 00:00:00+00:00,19,10,14,10
2026-09-17 00:00:00+00:00,5,5,22,13
2026-09-18 00:00:00+00:00,40,14,13,10
2026-09-19 00:00:00+00:00,31,9,7,7
