referrer,views_total,views_unique
Google,192,120
github.com,32,18
Bing,22,10
time-series-features.gitbook.io,20,8
link.springer.com,18,6
chatgpt.com,10,9
ecosia.org,5,1
sktime.net,2,2
DuckDuckGo,2,1
github-com.translate.goog,1,1
