time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-15 00:00:00+00:00,27,22,14,8
2025-11-16 00:00:00+00:00,3,3,11,9
2025-11-17 00:00:00+00:00,20,19,76,30
2025-11-18 00:00:00+00:00,4,4,24,17
2025-11-19 00:00:00+00:00,6,4,42,24
2025-11-20 00:00:00+00:00,22,20,30,23
2025-11-21 00:00:00+00:00,7,7,30,26
2025-11-22 00:00:00+00:00,4,4,9,9
2025-11-23 00:00:00+00:00,3,3,28,11
2025-11-24 00:00:00+00:00,9,9,42,20
2025-11-25 00:00:00+00:00,6,6,42,19
2025-11-26 00:00:00+00:00,9,8,30,19
2025-11-27 00:00:00+00:00,14,11,30,16
2025-11-28 00:00:00+00:00,18,14,44,14
