referrer,views_total,views_unique
Google,101,60
github.com,69,30
Bing,13,9
chatgpt.com,11,6
teams.public.onecdn.static.microsoft,9,1
pypi.org,5,3
link.springer.com,4,3
search.brave.com,4,2
time-series-features.gitbook.io,3,3
e.mail.ru,3,1
