time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-18 00:00:00+00:00,10,5,20,17
2026-03-19 00:00:00+00:00,8,4,32,13
2026-03-20 00:00:00+00:00,6,5,22,14
2026-03-21 00:00:00+00:00,7,3,9,7
2026-03-22 00:00:00+00:00,12,4,8,5
2026-03-23 00:00:00+00:00,13,11,45,28
2026-03-24 00:00:00+00:00,8,8,24,19
2026-03-25 00:00:00+00:00,4,4,20,19
2026-03-26 00:00:00+00:00,12,9,32,23
2026-03-27 00:00:00+00:00,10,5,11,9
2026-03-28 00:00:00+00:00,12,8,6,5
2026-03-29 00:00:00+00:00,11,7,6,6
2026-03-30 00:00:00+00:00,19,13,15,13
2026-03-31 00:00:00+00:00,14,6,36,22
