time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-27 00:00:00+00:00,2.0,2.0,13,10
2025-09-28 00:00:00+00:00,9.0,9.0,6,5
2025-09-29 00:00:00+00:00,12.0,9.0,25,18
2025-09-30 00:00:00+00:00,5.0,5.0,27,23
2025-10-01 00:00:00+00:00,6.0,3.0,16,14
2025-10-02 00:00:00+00:00,2.0,2.0,27,17
2025-10-03 00:00:00+00:00,7.0,6.0,37,23
2025-10-04 00:00:00+00:00,6.0,6.0,10,7
2025-10-05 00:00:00+00:00,3.0,3.0,11,9
2025-10-06 00:00:00+00:00,5.0,5.0,49,19
2025-10-07 00:00:00+00:00,2.0,2.0,34,24
2025-10-08 00:00:00+00:00,1.0,1.0,21,17
2025-10-09 00:00:00+00:00,10.0,7.0,35,14
2025-10-10 00:00:00+00:00,,,27,22
