time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-18 00:00:00+00:00,2,2,153,24
2024-01-19 00:00:00+00:00,3,3,44,13
2024-01-20 00:00:00+00:00,3,3,16,8
2024-01-21 00:00:00+00:00,8,3,22,8
2024-01-22 00:00:00+00:00,5,5,31,14
2024-01-23 00:00:00+00:00,4,4,37,21
2024-01-24 00:00:00+00:00,2,2,28,16
2024-01-25 00:00:00+00:00,6,6,29,15
2024-01-26 00:00:00+00:00,4,4,28,12
2024-01-27 00:00:00+00:00,6,6,20,7
2024-01-28 00:00:00+00:00,3,3,5,3
2024-01-29 00:00:00+00:00,10,5,48,18
2024-01-30 00:00:00+00:00,8,7,49,27
2024-01-31 00:00:00+00:00,2,2,57,20
