time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-11 00:00:00+00:00,12,7,48,14
2023-12-12 00:00:00+00:00,4,4,67,26
2023-12-13 00:00:00+00:00,6,6,48,19
2023-12-14 00:00:00+00:00,5,5,41,17
2023-12-15 00:00:00+00:00,3,3,98,12
2023-12-16 00:00:00+00:00,5,5,3,3
2023-12-17 00:00:00+00:00,5,5,13,3
2023-12-18 00:00:00+00:00,4,4,36,11
2023-12-19 00:00:00+00:00,4,4,54,14
2023-12-20 00:00:00+00:00,7,7,55,16
2023-12-21 00:00:00+00:00,3,3,17,10
2023-12-22 00:00:00+00:00,3,3,99,10
2023-12-23 00:00:00+00:00,3,3,22,4
2023-12-24 00:00:00+00:00,1,1,12,7
