referrer,views_total,views_unique
Google,201,112
github.com,22,14
time-series-features.gitbook.io,9,8
pypi.org,7,7
Bing,4,3
statics.teams.cdn.office.net,4,2
chatgpt.com,3,2
DuckDuckGo,3,2
colab.research.google.com,3,1
link.springer.com,3,1
