referrer,views_total,views_unique
Google,129,75
github.com,59,14
pypi.org,21,12
link.springer.com,13,4
time-series-features.gitbook.io,12,8
search.brave.com,9,7
Bing,7,6
cran.r-project.org,5,1
sktime.net,4,3
chatgpt.com,3,2
