referrer,views_total,views_unique
Google,124,72
github.com,36,17
time-series-features.gitbook.io,11,8
pypi.org,3,3
juliahub.com,3,3
search.brave.com,2,2
yandex.ru,2,1
cran.r-project.org,2,1
tsfresh.readthedocs.io,2,1
Bing,2,1
