time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-26 00:00:00+00:00,2.0,1.0,10,7
2025-01-27 00:00:00+00:00,1.0,1.0,38,22
2025-01-28 00:00:00+00:00,2.0,2.0,18,9
2025-01-29 00:00:00+00:00,1.0,1.0,14,11
2025-01-30 00:00:00+00:00,12.0,7.0,33,18
2025-01-31 00:00:00+00:00,5.0,3.0,34,19
2025-02-01 00:00:00+00:00,2.0,2.0,15,12
2025-02-02 00:00:00+00:00,5.0,2.0,6,4
2025-02-03 00:00:00+00:00,4.0,4.0,19,13
2025-02-04 00:00:00+00:00,1.0,1.0,19,16
2025-02-05 00:00:00+00:00,5.0,3.0,34,18
2025-02-06 00:00:00+00:00,3.0,2.0,36,18
2025-02-07 00:00:00+00:00,6.0,3.0,22,15
2025-02-08 00:00:00+00:00,,,25,14
