referrer,views_total,views_unique
Google,134,90
github.com,43,19
search.brave.com,15,8
time-series-features.gitbook.io,14,5
pypi.org,9,5
link.springer.com,8,3
Bing,4,4
ecosia.org,2,1
Yahoo,1,1
chatgpt.com,1,1
