referrer,views_total,views_unique
Google,79,52
github.com,26,14
chatgpt.com,10,6
Bing,7,6
pypi.org,5,4
link.springer.com,4,3
time-series-features.gitbook.io,4,1
search.brave.com,2,1
ulis.se,2,1
DuckDuckGo,1,1
