time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-11 00:00:00+00:00,3,3,96,30
2024-03-12 00:00:00+00:00,5,5,108,19
2024-03-13 00:00:00+00:00,3,3,119,20
2024-03-14 00:00:00+00:00,2,2,100,25
2024-03-15 00:00:00+00:00,3,3,90,20
2024-03-16 00:00:00+00:00,4,4,15,7
2024-03-17 00:00:00+00:00,2,2,39,7
2024-03-18 00:00:00+00:00,5,5,59,24
2024-03-19 00:00:00+00:00,3,3,76,27
2024-03-20 00:00:00+00:00,2,2,63,15
2024-03-21 00:00:00+00:00,4,4,16,9
2024-03-22 00:00:00+00:00,4,4,14,10
2024-03-23 00:00:00+00:00,3,3,29,4
2024-03-24 00:00:00+00:00,1,1,43,5
