referrer,views_total,views_unique
Google,230,115
chatgpt.com,21,17
github.com,16,11
time-series-features.gitbook.io,14,7
Bing,11,6
pypi.org,9,7
au.search.yahoo.com,8,1
link.springer.com,6,5
statics.teams.cdn.office.net,5,2
search.brave.com,3,2
