referrer,views_total,views_unique
Google,180,95
github.com,28,14
time-series-features.gitbook.io,18,7
pypi.org,15,5
Bing,13,7
chatgpt.com,10,5
cn.bing.com,6,2
medium.com,5,5
statics.teams.cdn.office.net,5,2
opentimeseries.com,4,3
