time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-29 00:00:00+00:00,2.0,1.0,11,8
2024-12-30 00:00:00+00:00,2.0,2.0,22,15
2024-12-31 00:00:00+00:00,,,8,4
2025-01-01 00:00:00+00:00,3.0,2.0,6,4
2025-01-02 00:00:00+00:00,3.0,2.0,17,12
2025-01-03 00:00:00+00:00,,,20,9
2025-01-04 00:00:00+00:00,2.0,1.0,7,6
2025-01-05 00:00:00+00:00,2.0,2.0,10,8
2025-01-06 00:00:00+00:00,2.0,2.0,19,17
2025-01-07 00:00:00+00:00,1.0,1.0,23,11
2025-01-08 00:00:00+00:00,1.0,1.0,38,18
2025-01-09 00:00:00+00:00,,,18,13
2025-01-10 00:00:00+00:00,2.0,2.0,11,8
2025-01-11 00:00:00+00:00,,,3,3
