time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-18 00:00:00+00:00,6,5,20,7
2025-04-19 00:00:00+00:00,2,2,6,4
2025-04-20 00:00:00+00:00,10,7,17,11
2025-04-21 00:00:00+00:00,9,6,23,16
2025-04-22 00:00:00+00:00,5,3,20,14
2025-04-23 00:00:00+00:00,5,2,28,17
2025-04-24 00:00:00+00:00,5,4,27,19
2025-04-25 00:00:00+00:00,2,2,28,12
2025-04-26 00:00:00+00:00,2,2,6,5
2025-04-27 00:00:00+00:00,4,2,8,8
2025-04-28 00:00:00+00:00,6,3,32,22
2025-04-29 00:00:00+00:00,4,4,28,12
2025-04-30 00:00:00+00:00,8,5,18,16
2025-05-01 00:00:00+00:00,3,3,15,11
