referrer,views_total,views_unique
Google,165,108
github.com,27,16
pypi.org,16,5
Bing,12,6
time-series-features.gitbook.io,7,5
statics.teams.cdn.office.net,7,4
medium.com,6,6
wiki.iis.uj.edu.pl,5,1
chatgpt.com,4,3
opentimeseries.com,3,2
