referrer,views_total,views_unique
github.com,81,14
Google,76,44
Bing,21,15
DuckDuckGo,6,5
chatgpt.com,5,3
e.mail.ru,3,1
doubao.com,2,2
link.springer.com,2,2
qwant.com,2,1
cran.r-project.org,1,1
