time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-06 00:00:00+00:00,5,5,49,19
2025-10-07 00:00:00+00:00,2,2,34,24
2025-10-08 00:00:00+00:00,1,1,21,17
2025-10-09 00:00:00+00:00,10,7,35,14
2025-10-10 00:00:00+00:00,4,4,27,22
2025-10-11 00:00:00+00:00,7,6,8,8
2025-10-12 00:00:00+00:00,3,2,10,10
2025-10-13 00:00:00+00:00,7,6,47,25
2025-10-14 00:00:00+00:00,21,5,22,21
2025-10-15 00:00:00+00:00,3,3,38,27
2025-10-16 00:00:00+00:00,5,5,34,26
2025-10-17 00:00:00+00:00,5,5,32,21
2025-10-18 00:00:00+00:00,3,2,1,1
2025-10-19 00:00:00+00:00,15,3,15,10
