referrer,views_total,views_unique
Google,568,113
github.com,42,12
time-series-features.gitbook.io,35,18
sktime.net,31,5
Bing,10,4
pub.towardsai.net,5,1
pypi.org,3,3
DuckDuckGo,2,2
news.ycombinator.com,2,1
opentimeseries.com,2,1
