referrer,views_total,views_unique
Google,113,77
github.com,27,22
pypi.org,27,10
Bing,24,14
time-series-features.gitbook.io,13,9
DuckDuckGo,13,8
statics.teams.cdn.office.net,9,6
search.brave.com,8,5
opentimeseries.com,3,2
ecosia.org,3,1
