time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-08 00:00:00+00:00,11.0,11.0,39,29
2025-09-09 00:00:00+00:00,17.0,12.0,31,20
2025-09-10 00:00:00+00:00,10.0,8.0,44,21
2025-09-11 00:00:00+00:00,13.0,12.0,35,16
2025-09-12 00:00:00+00:00,5.0,5.0,67,15
2025-09-13 00:00:00+00:00,4.0,3.0,33,11
2025-09-14 00:00:00+00:00,13.0,12.0,10,6
2025-09-15 00:00:00+00:00,5.0,5.0,55,25
2025-09-16 00:00:00+00:00,18.0,11.0,20,15
2025-09-17 00:00:00+00:00,21.0,16.0,73,24
2025-09-18 00:00:00+00:00,8.0,8.0,20,11
2025-09-19 00:00:00+00:00,8.0,7.0,28,17
2025-09-20 00:00:00+00:00,3.0,3.0,7,5
2025-09-21 00:00:00+00:00,,,7,6
