time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-04 00:00:00+00:00,4,4,9,7
2023-11-05 00:00:00+00:00,5,5,1,1
2023-11-06 00:00:00+00:00,5,5,43,23
2023-11-07 00:00:00+00:00,5,5,19,9
2023-11-08 00:00:00+00:00,2,2,56,23
2023-11-09 00:00:00+00:00,5,5,54,15
2023-11-10 00:00:00+00:00,2,2,45,17
2023-11-11 00:00:00+00:00,3,3,26,6
2023-11-12 00:00:00+00:00,6,6,24,10
2023-11-13 00:00:00+00:00,4,4,22,15
2023-11-14 00:00:00+00:00,4,4,31,21
2023-11-15 00:00:00+00:00,10,5,40,17
2023-11-16 00:00:00+00:00,4,4,56,23
2023-11-17 00:00:00+00:00,1,1,28,15
