time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-15 00:00:00+00:00,4,4,78,27
2024-05-16 00:00:00+00:00,3,3,31,18
2024-05-17 00:00:00+00:00,2,2,65,24
2024-05-18 00:00:00+00:00,2,2,17,11
2024-05-19 00:00:00+00:00,3,3,6,5
2024-05-20 00:00:00+00:00,4,4,33,17
2024-05-21 00:00:00+00:00,5,2,31,18
2024-05-22 00:00:00+00:00,3,3,30,17
2024-05-23 00:00:00+00:00,4,4,75,21
2024-05-24 00:00:00+00:00,1,1,55,24
2024-05-25 00:00:00+00:00,3,3,24,11
2024-05-26 00:00:00+00:00,8,5,18,5
2024-05-27 00:00:00+00:00,11,7,21,10
2024-05-28 00:00:00+00:00,2,2,65,18
