time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-17 00:00:00+00:00,7,4,5,4
2025-05-18 00:00:00+00:00,5,3,26,7
2025-05-19 00:00:00+00:00,13,7,41,17
2025-05-20 00:00:00+00:00,8,6,38,23
2025-05-21 00:00:00+00:00,30,18,32,16
2025-05-22 00:00:00+00:00,10,9,55,35
2025-05-23 00:00:00+00:00,5,4,32,19
2025-05-24 00:00:00+00:00,5,4,17,10
2025-05-25 00:00:00+00:00,11,4,8,6
2025-05-26 00:00:00+00:00,4,4,38,22
2025-05-27 00:00:00+00:00,7,4,74,24
2025-05-28 00:00:00+00:00,6,3,46,25
2025-05-29 00:00:00+00:00,26,3,29,24
2025-05-30 00:00:00+00:00,45,2,36,20
