referrer,views_total,views_unique
Google,73,52
Bing,11,6
github.com,5,5
chatgpt.com,4,3
DuckDuckGo,3,2
link.springer.com,3,2
pypi.org,2,2
time-series-features.gitbook.io,2,2
cran.r-project.org,1,1
opentimeseries.com,1,1
