time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-16 00:00:00+00:00,,,18,10
2024-11-17 00:00:00+00:00,,,7,5
2024-11-18 00:00:00+00:00,,,33,19
2024-11-19 00:00:00+00:00,,,18,14
2024-11-20 00:00:00+00:00,3.0,3.0,30,17
2024-11-21 00:00:00+00:00,2.0,2.0,28,17
2024-11-22 00:00:00+00:00,3.0,3.0,15,12
2024-11-23 00:00:00+00:00,4.0,3.0,15,10
2024-11-24 00:00:00+00:00,2.0,1.0,16,11
2024-11-25 00:00:00+00:00,3.0,2.0,41,17
2024-11-26 00:00:00+00:00,1.0,1.0,25,16
2024-11-27 00:00:00+00:00,6.0,2.0,42,24
2024-11-28 00:00:00+00:00,3.0,2.0,23,14
2024-11-29 00:00:00+00:00,1.0,1.0,13,12
