time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-30 00:00:00+00:00,2,2,60,20
2024-10-31 00:00:00+00:00,2,2,43,28
2024-11-01 00:00:00+00:00,2,2,28,21
2024-11-02 00:00:00+00:00,2,1,10,9
2024-11-03 00:00:00+00:00,3,1,6,5
2024-11-04 00:00:00+00:00,2,2,25,21
2024-11-05 00:00:00+00:00,2,1,33,22
2024-11-06 00:00:00+00:00,1,1,26,20
2024-11-07 00:00:00+00:00,2,2,15,13
2024-11-08 00:00:00+00:00,2,2,27,15
2024-11-09 00:00:00+00:00,1,1,10,7
2024-11-10 00:00:00+00:00,3,2,17,13
2024-11-11 00:00:00+00:00,2,2,60,20
2024-11-12 00:00:00+00:00,2,2,31,18
