referrer,views_total,views_unique
Google,86,48
github.com,52,31
chatgpt.com,28,8
teams.public.onecdn.static.microsoft,13,3
pypi.org,11,4
Bing,7,5
link.springer.com,4,3
search.brave.com,2,1
DuckDuckGo,1,1
cran.r-project.org,1,1
