time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-12 00:00:00+00:00,4.0,4.0,81,21
2024-02-13 00:00:00+00:00,5.0,5.0,95,19
2024-02-14 00:00:00+00:00,4.0,4.0,68,23
2024-02-15 00:00:00+00:00,3.0,3.0,87,20
2024-02-16 00:00:00+00:00,5.0,5.0,36,17
2024-02-17 00:00:00+00:00,3.0,3.0,22,11
2024-02-18 00:00:00+00:00,3.0,3.0,87,13
2024-02-19 00:00:00+00:00,4.0,4.0,64,24
2024-02-20 00:00:00+00:00,4.0,4.0,95,26
2024-02-21 00:00:00+00:00,6.0,6.0,84,24
2024-02-22 00:00:00+00:00,4.0,4.0,47,21
2024-02-23 00:00:00+00:00,4.0,4.0,69,15
2024-02-24 00:00:00+00:00,5.0,5.0,32,9
2024-02-25 00:00:00+00:00,,,15,7
