referrer,views_total,views_unique
Google,123,64
github.com,24,11
time-series-features.gitbook.io,21,13
pypi.org,13,5
Bing,6,6
search.brave.com,6,6
Yahoo,4,2
sktime.net,3,3
chatgpt.com,3,2
opentimeseries.com,2,2
