time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-10 00:00:00+00:00,5.0,5.0,40,24
2025-03-11 00:00:00+00:00,12.0,8.0,28,21
2025-03-12 00:00:00+00:00,2.0,2.0,18,13
2025-03-13 00:00:00+00:00,3.0,3.0,27,17
2025-03-14 00:00:00+00:00,3.0,3.0,18,16
2025-03-15 00:00:00+00:00,11.0,5.0,12,8
2025-03-16 00:00:00+00:00,6.0,3.0,33,11
2025-03-17 00:00:00+00:00,4.0,4.0,70,27
2025-03-18 00:00:00+00:00,3.0,3.0,50,30
2025-03-19 00:00:00+00:00,5.0,5.0,29,22
2025-03-20 00:00:00+00:00,4.0,3.0,18,14
2025-03-21 00:00:00+00:00,8.0,5.0,17,14
2025-03-22 00:00:00+00:00,10.0,5.0,18,7
2025-03-23 00:00:00+00:00,,,17,13
