url_path,views_total,views_unique
/DynamicsAndNeuralSystems/catch22,122,103
/DynamicsAndNeuralSystems/catch22/tree/main/wrap_Matlab,8,3
/DynamicsAndNeuralSystems/catch22/blob/main/featureList.txt,7,6
/DynamicsAndNeuralSystems/catch22/blob/main/README.md,7,5
/DynamicsAndNeuralSystems/catch22/tree/main/C,5,4
/DynamicsAndNeuralSystems/catch22/blob/main/catch22.m,3,3
/DynamicsAndNeuralSystems/catch22/tree/main,3,1
/DynamicsAndNeuralSystems/catch22/tree/main/Matlab,2,2
/DynamicsAndNeuralSystems/catch22/blob/main/Matlab/SB_MotifThree_quantile_hh.m,2,1
/DynamicsAndNeuralSystems/catch22/blob/main/img/PerformanceComparisonFig4.png,2,1
